exhaust, 배기가스
fierce, 사나운
daylight, 일광
fur, 털
helpful, 도움이 되는
observer, 관찰자
minor, 미성년자
measurement, 측정
formula, 공식
ancestor, 선조
upright, 똑바로
butch, 못 쓰게 하다
spill, 엎지르다
flame, 불꽃
ghost, 귀신
innocent, 순결한
fuss, 야단법석
evil, 사악한
fantastic, 환상적인
census, 인구 조사
exact, 정확한
roller, 롤러
crush, 으깨다
versus, ~ 대
resist, 저항하다
temptation, 유혹
witness, 증인
undergo, 받다
plantation, 농원
bean, 콩
cease, 중지
frustrate, 좌절시키다
avenue, 수단
suburb, 근교
dismiss, 해고하다
workshop, 작업장
carriage, 마차
cart, 카트
barely, 간신히
revolt, 반란
instruct, 지시하다
drain, 물을 빼다
delete, 삭제
fraction, 분수
reluctant, 그들은 주저한다
unemployment, 실업
illustrate, 설명하다
arrangement, 준비
privilege, 특권
disastrous, 비참한
champion, 챔피언
heroic, 과장된 감정
dash, 대시
contribution, 기부금
faint, 희미한
curse, 저주
stare, 응시
pose, 포즈
trunk, 트렁크
polish, 광택
continuous, 마디 없는
golf, 골프
width, 너비
reputation, 평판
Marxist, 마르크스주의자
chest, 가슴
eyesight, 시력
successive, 연속적인
minimum, 최저한의
upper, 높은
episode, 삽화
gulf, 만
refugee, 난민
immigrant, 이민
furthermore, 뿐만 아니라
surplus, 여분
wisdom, 지혜
intention, 의도
permission, 허가
audio, 오디오
assemble, 모으다
dock, 독
thrust, 추력
dirt, 흙
candy, 사탕
carrot, 당근
rid, 제거하다
gross, 역겨운
classify, 나누다
weed, 잡초
chart, 차트
thrive, 번창하다
calm, 차분한
heal, 치유하다
sorrow, 슬픔
bold, 대담한
expedition, 탐험
reckon, 생각하다
clarify, 명확히 하다
globe, 지구본
undo, 원상태로 돌리다
yield, 산출하다
nitrogen, 질소
recall, 상기하다
exceedingly, 대단히
naturally, 자연스럽게
bloom, 꽃이 피다
royal, 왕족의
devise, 고안하다
laser, 레이저
unify, 통일하다
Unity, 통일
mud, 진흙
helicopter, 헬리콥터
shallow, 얕은
powder, 가루
consultant, 고문
genius, 천재
consult, 상담하다
transfer, 이동하다
Christ, 그리스도
resume, 이력서
prescription, 처방전
depress, 우울하게 하다
split, 쪼개다
ultimate, 궁극적인
comprise, 구성하다
loop, 고리
accordingly, 따라서
accelerate, 가속하다
circulate, 순환하다
collision, 충돌
tunnel, 터널
atomic, 원자의
strip, 벗기다
random, 무작위의
honey, 꿀
halt, 중단
spider, 거미
mate, 짝
excursion, 소풍
pea, 완두콩
elastic, 탄력 있는
exaggerate, 과장하다
grammar, 문법
handwrite, 손으로 쓰다
observation, 관찰
coil, 코일
logic, 논리
decent, 괜찮은
accumulate, 축적하다
whip, 채찍
dessert, 디저트
vacuum, 진공
locality, 장소
fold, 접다
limb, 팔다리
coarse, 거친
governor, 주지사
underground, 지하의
instal, 설치하다
attorney, 변호사
wrist, 손목
occupation, 직업
annoy, 짜증나게 하다
forecast, 예보
cattle, 소
triangle, 삼각형
accountant, 회계사
laundry, 세탁물
automobile, 자동차
airplane, 비행기
airport, 공항
surgery, 수술
microscope, 현미경
departure, 출발
passport, 여권
compass, 나침반
deaf, 귀머거리의
gum, 껌
editorial, 사설
hen, 암탉
thermometer, 온도계
mineral, 미네랄
horizontal, 수평의
prescribe, 처방하다
glove, 장갑
certificate, 증명서
vivid, 생생한
mainland, 본토
cupboard, 찬장
headline, 표제
tense, 시제
guitar, 기타
altitude, 고도
cabbage, 양배추
menu, 메뉴
dusk, 황혼
violin, 바이올린
sunrise, 해돋이
subjective, 주걱
chemist, 화학자
widow, 과부
paragraph, 절
tolerant, 관대 한
carpenter, 목수
portrait, 초상화
arithmetic, 산수
drawer, 서랍
medal, 메달
dormitory, 기숙사
world-wide, 세계적인
soar, 날기
companion, 동반자
spectacular, 장관의
shrink, 수축
moderate, 보통의
mature, 성숙한
parallel, 평행한
breakthrough, 돌파구
inflation, 인플레이션
dialect, 방언
dominant, 우성
dam, 댐
swallow, 삼키다
ally, 동맹국
qualification, 자격
notwithstanding, 그럼에도 불구하고
lamb, 양고기
likelihood, 있을 수 있는 일
fashion, 패션
burden, 부담
consistent, 일관된
lens, 렌즈
allowance, 용돈
costly, 비용이 많이 드는
sacrifice, 희생
physiological, 생리학적
tolerance, 용인
lag, 지연
murder, 살인
arrival, 도착
insure, 보장하다
offence, 위반
meanwhile, 그 동안에
lobby, 로비
widen, 넓히다
trumpet, 트럼펫
virtue, 미덕
inferior, 열등한
bride, 신부
occasion, 행사
compensate, 보상하다
wardrobe, 옷장
aluminium, 알류미늄
chin, 턱
conquest, 정복
utilise, 활용하다
hell, 지옥
stretch, 늘이다
scratch, 긁다
spray, 뿌리다
bond, 유대
fashionable, 유행하는
latter, 후자의
settlement, 합의
convict, 유죄를 선고하다
alongside, 나란히
conviction, 유죄 판결
conservative, 보수적인
confine, 제한하다
boast, 뽐내다
superb, 최고의
temple, 절
statue, 조각상
boom, 붐
antique, 골동품
destination, 목적지
warfare, 전쟁
violate, 위반하다
sanction, 제재
rear, 뒤쪽
absence, 부재
endless, 끝없는
enquiry, 문의
appoint, 임명하다
lodge, 오두막
vice, 악덕
restrain, 억제하다
likewise, 마찬가지로
solitary, 고독한
attractive, 매력적인
plunge, 급락하다
briefcase, 서류 가방
smash, 박살내다
spacecraft, 우주선
chaos, 혼돈
hut, 오두막
continuity, 연속성
rage, 분노
loosen, 느슨하게 하다
instrumental, 악기의
battery, 배터리
plug, 플러그
profile, 프로필
scrutiny, 정밀 조사
dependant, 부양 가족
judgement, 판단
offensive, 모욕적인
olive, 올리브
emphasise, 강조하다
fertiliser, 비료
band, 밴드
hedge, 울타리
remedy, 해결책
clue, 단서
beard, 턱수염
deck, 갑판
subsequent, 그 다음의
wax, 왁스
protective, 보호하는
sunset, 일몰
frost, 서리
telecommunication, 통신
realistic, 현실적인
dot, 점
scan, 살피다
identical, 동일한
compel, 강요하다
advocate, 지지하다
segment, 부분
harmony, 조화
brick, 벽돌
occasional, 가끔의
liquor, 술
yearly, 매년의
grape, 포도
container, 용기
imaginary, 상상의
aircraft, 항공기
elaborate, 정교한
script, 대본
civilisation, 문명
rob, 강탈하다
starve, 굶주리다
discard, 버리다
disposal, 처리
preferable, 더 나은
clause, 조항
jar, 항아리
illusion, 환상
stem, 줄기
impression, 인상
imitation, 모방
confusion, 혼란
cue, 신호
soda, 소다
dumb, 벙어리의
sole, 유일한
palm, 손바닥
drift, 표류
infer, 추론하다
premature, 시기상조의
permanent, 영구적인
worship, 숭배하다
luxury, 사치
echo, 메아리
excitement, 흥분
laughter, 웃음
refresh, 상쾌하게 하다
dull, 지루한
conjunction, 접속사
seal, 밀봉하다
astonish, 깜짝 놀라게 하다
manual, 매뉴얼
spur, 자극하다
gym, 체육관
confident, 자신감 있는
mutual, 상호간의
acquaintance, 지인
agenda, 의제
purse, 지갑
dip, 담그다
timber, 목재
crude, 대충의
insurance, 보험
pepper, 후추
deceive, 속이다
vibrate, 진동하다
thunder, 천둥
mask, 마스크
flee, 달아나다
cultivate, 경작하다
railway, 철도
nationality, 국적
costume, 의상
procession, 행렬
progressive, 진보적인
reflection, 반사
cushion, 쿠션
mill, 방앗간
lawn, 잔디
gardener, 정원사
slippery, 미끄러운
substitute, 대체하다
provoke, 유발하다
command, 명령
aisle, 통로
headquarter, 본부
weave, 짜다
replacement, 교체
sake, 동기
diplomatic, 외교의
silicon, 실리콘
fate, 운명
trim, 다듬다
sin, 죄
wallet, 지갑
bleed, 피를 흘리다
prompt, 즉각적인
specialise, 전문화하다
merchant, 상인
anticipate, 예상하다
succession, 연속
casual, 캐주얼한
compromise, 타협
concession, 양보
accommodate, 수용하다
enlarge, 확대하다
signature, 서명
neighbourhood, 이웃
parade, 행진
deserve, ~을 받을 만하다
holy, 신성한
acre, 에이커
poet, 시인
strap, 끈
profession, 직업
fleet, 함대
operator, 운영자
nurture, 양육하다
repertoire, 레퍼토리
disturb, 방해하다
upset, 속상하게 하다
utmost, 최선의
roar, 으르렁거리다
sword, 칼
mercy, 자비
paste, 반죽
beast, 짐승
alike, 비슷한
controversial, 논란이 많은
justice, 정의
accuse, 고발하다
subordinate, 부하
ambition, 야망
contradiction, 모순
heighten, 고조시키다
vapor, 증기
economical, 경제적인
spiritual, 정신적인
soak, 적시다
apparent, 분명한
thereafter, 그 후에
Grace, 우아함
ridiculous, 말도 안 되는
moist, 촉촉한
twist, 비틀다
duration, 지속 기간
probable, 개연성 있는
accidental, 우연한
inspect, 검사하다
offend, 기분 상하게 하다
obey, 복종하다
vigorous, 활기찬
limitation, 제한
neglect, 방치하다
mechanic, 정비공
evidently, 분명히
dental, 치과의
flock, 떼
aboard, 탑승한
condense, 응축하다
mysterious, 신비로운
negotiate, 협상하다
modest, 겸손한
arouse, 불러일으키다
generous, 관대한
defeat, 패배시키다
satisfactory, 만족스러운
fisherman, 어부
surrender, 항복하다
envy, 부러움
admit, 인정하다
forge, 구축하다
sightsee, 관광하다
centimetre, 센티미터
jungle, 정글
mat, 매트
fibre, 섬유
chop, 자르다
rope, 밧줄
cord, 코드
anchor, 닻
head, 머리
house, 집
learn, 배우다
lounge, 라운지
aerial, 항공의
simplify, 단순화하다
toast, 건배
catalogue, 목록
quiz, 퀴즈
omit, 생략하다
repetition, 반복
warmth, 온기
purity, 순수함
librarian, 사서
equip, 장비를 갖추다
calculator, 계산기
worthy, ~할 가치가 있는
orchestra, 오케스트라
senator, 상원 의원
utility, 공공요금
crawl, 기어가다
exert, 행사하다
delicious, 맛있는
intimate, 친밀한
proof, 증거
therapy, 치료
insert, 삽입하다
injection, 주사
confess, 자백하다
deadly, 치명적인
suspicion, 의심
breast, 가슴
wander, 돌아다니다
loaf, 덩어리
coverage, 보도
hostile, 적대적인
heel, 발뒤꿈치
handful, 한 줌
bounce, 튀다
tame, 길들여진
bare, 벌거벗은
jewel, 보석
uneasy, 불안한
edition, 판
policy, 정책
ignorant, 무지한
guilty, 유죄의
helpless, 무력한
harden, 굳어지다
whilst, ~하는 동안
choke, 질식시키다
partial, 부분적인
baffle, 당황하게 하다
waterproof, 방수의
baseball, 야구
score, 점수
towel, 수건
whoever, 누구든지
emit, 방출하다
wholly, 완전히
miserable, 비참한
jealous, 질투하는
forehead, 이마
Honourable, 명예로운
exclaim, 소리치다
gaze, 응시하다
bureau, 책상
dump, 버리다
ministry, 부처
wolf, 늑대
torture, 고문
eve, 전야
slip, 미끄러지다
priest, 신부
rally, 집회
mess, 엉망
hopeful, 희망적인
chase, 뒤쫓다
assure, 장담하다
endurance, 인내
panic, 공황
transient, 일시적인
magic, 마법
bullet, 총알
petroleum, 석유
seemingly, 겉보기에
barrel, 통
discharge, 배출하다
bolt, 볼트
earnest, 진지한
dragon, 용
recite, 암송하다
detective, 탐정
whisper, 속삭이다
irrigation, 관개
ditch, 배수로
anniversary, 기념일
afterward, 나중에
greedy, 욕심 많은
garbage, 쓰레기
wicked, 사악한
railroad, 철도
bachelor, 미혼 남자
slap, 찰싹 때리다
pedestrian, 보행자
terror, 공포
county, 군
highway, 고속도로
swing, 흔들리다
nuisance, 성가신 존재
instant, 즉각적인
cruise, 순항하다
backward, 뒤로
rebel, 반란군
slam, 쾅 닫다
Revelation, 폭로
lightning, 번개
breeze, 산들바람
umbrella, 우산
chill, 냉기
kindness, 친절
fare, 요금
torch, 횃불
van, 밴
pillar, 기둥
embarrass, 당황하게 하다
monetary, 통화의
nonsense, 터무니없는 생각
hobby, 취미
intermediate, 중간의
outlet, 배출구
indirect, 간접적인
painful, 고통스러운
elegant, 우아한
solemn, 엄숙한
sideways, 옆으로
hollow, 속이 빈
millimetre, 밀리미터
glue, 풀
drip, 방울
Bible, 성경
systematic, 체계적인
beforehand, 사전에
sew, 바느질하다
pigeon, 비둘기
navigation, 항해
frontier, 국경
lump, 덩어리
thoughtful, 사려 깊은
obstacle, 장애물
membership, 회원 자격
morality, 도덕
layout, 배치
criticise, 비판하다
vain, 헛된
toll, 통행료
spokesman, 대변인
glance, 흘끗 보다
Venture, 모험
treaty, 조약
stack, 더미
monopoly, 독점
pledge, 서약
incline, 기울다
rap, 톡톡 두드리기
favourable, 호의적인
kindergarten, 유치원
steer, 조종하다
jazz, 재즈
cartoon, 만화
mould, 곰팡이
sway, 흔들리다
harbour, 항구
brutal, 잔인한
fruitful, 유익한
invitation, 초대
Gymnasium, 체육관
copper, 구리
cheat, 속이다
onion, 양파
cement, 시멘트
overhead, 머리 위의
boot, 부츠
accustom, 익숙하게 하다
sauce, 소스
inn, 여관
operational, 운영의
fluent, 유창한
dim, 희미한
voltage, 전압
hum, 콧노래를 부르다
dairy, 유제품의
mosquito, 모기
lap, 무릎
comb, 빗
stif, 뻣뻣한
whistle, 호루라기
fake, 가짜
bacon, 베이컨
fry, 튀기다
bulb, 전구
vinegar, 식초
pierce, 뚫다
scream, 비명
lemon, 레몬
punch, 펀치
sour, 신
sack, 자루
jaw, 턱
claw, 발톱
slim, 날씬한
congratulation, 축하
fatal, 치명적인
opera, 오페라
germ, 세균
scarce, 부족한
beloved, 사랑하는
hint, 힌트
preach, 설교하다
oval, 타원형의
rod, 막대
fade, 희미해지다
ripe, 익은
horrible, 끔찍한
reunion, 재회
entitle, 자격을 주다
plague, 전염병
cop, 경찰
cling, 매달리다
insist, 주장하다
glory, 영광
conscience, 양심
brake, 브레이크
casualty, 사상자
amidst, ~의 한복판에
mist, 안개
pine, 소나무
portable, 휴대용의
approximate, 대략적인
cabin, 오두막
stave, 오선
furnace, 용광로
radar, 레이더
blanket, 담요
defect, 결함
aviation, 항공
beggar, 거지
memorial, 기념비
rumor, 소문
axe, 도끼
mayor, 시장
vacant, 비어 있는
referee, 심판
decisive, 결정적인
smuggle, 밀수하다
lad, 소년
arbitrary, 임의의
navy, 해군
sleeve, 소매
spit, 침을 뱉다
await, 기다리다
grave, 무덤
scarcely, 거의 ~하지 않다
consequent, 결과로서 일어나는
despair, 절망
refrigerator, 냉장고
grim, 암울한
patience, 인내
balloon, 풍선
lease, 임대
gang, 갱
ashamed, 부끄러운
blank, 빈
nightmare, 악몽
decorate, 장식하다
skim, 걷어내다
furnish, 비치하다
pray, 기도하다
summarise, 요약하다
subtract, 빼다
supreme, 최고의
slender, 날씬한
tedious, 지루한
pessimistic, 비관적인
deputy, 부관
reservation, 예약
pat, 쓰다듬다
applicable, 적용 가능한
awkward, 어색한
shiver, 떨다
veteran, 베테랑
energetic, 활동적인
naval, 해군의
removal, 제거
kettle, 주전자
shave, 면도하다
sting, 쏘다
cassette, 카세트
singular, 단수의
simplicity, 단순함
apologize, 사과하다
hook, 갈고리
rib, 갈비뼈
Negro, 흑인
eternal, 영원한
workman, 노동자
rust, 녹
kneel, 무릎을 꿇다
chap, 녀석
licence, 면허
consent, 동의
penalty, 처벌
cigar, 시가
reenforce, 강화하다
indifferent, 무관심한
reflexion, 반사
Porter, 짐꾼
heave, 들어 올리다
profess, 공언하다
cooperate, 협력하다
connexion, 연결
garlic, 마늘
carpet, 카펫
determination, 결심
spade, 삽
mug, 머그잔
liberty, 자유
pillow, 베개
funeral, 장례식
devil, 악마
optical, 시각적인
whatsoever, 무엇이든
downwards, 아래쪽으로
yawn, 하품하다
concede, 인정하다
resort, 휴양지
scissor, 가위
barber, 이발사
pant, 헐떡거리다
counsel, 조언
withdraw, 철회하다
handy, 편리한
packet, 소포
cube, 입방체
apology, 사과
indispensable, 필수적인
poem, 시
indicative, 나타내는
console, 위로하다
hatred, 증오
pinch, 꼬집다
preface, 머리말
memorize, 암기하다
merit, 장점
token, 표시
handbag, 핸드백
marvellous, 놀라운
splendid, 훌륭한
troublesome, 골치 아픈
cumulative, 누적되는
permissible, 허용되는
rack, 선반
unload, 짐을 내리다
stern, 엄격한
inward, 안쪽의
impatient, 참을성 없는
fasten, 매다
flour, 밀가루
shrug, 어깨를 으쓱하다
appraisal, 평가
synthetic, 합성의
charm, 매력
stationary, 정지된
vague, 모호한
screw, 나사
cashier, 출납원
inclose, 동봉하다
waggon, 짐마차
selfish, 이기적인
liberate, 해방시키다
rainbow, 무지개
sue, 고소하다
rude, 무례한
plural, 복수의
baggage, 수하물
outset, 착수
sympathetic, 동정적인
crane, 크레인
waken, 깨우다
raid, 습격
brave, 용감한
footstep, 발자국
civilian, 민간인
roast, 굽다
heap, 더미
orderly, 정돈된
violet, 제비꽃
metric, 미터법의
diligent, 부지런한
parcel, 소포
advisable, 권할 만한
fireman, 소방관
correspondence, 대응
revolve, 회전하다
weep, 울다
miracle, 기적
goodness, 선량함
presently, 현재
merry, 명랑한
respective, 각자의
condemn, 비난하다
considerate, 사려 깊은
charter, 헌장
divine, 신성한
sow, 씨를 뿌리다
ache, 아픔
proportional, 비례하는
characterise, 특징짓다
fortnight, 2주일
kid, 아이
prayer, 기도
require, 필요하다
dive, 다이빙하다
open, 열다
follow, 따르다
system, 시스템
hear, 듣다
economic, 경제의
assess, 평가하다
issue, 발행하다
bound, 묶인
happen, 일어나다
federal, 연방의
resign, 사임하다
possess, 소유하다
liable, ~하기 쉬운
relationship, 관계
former, 이전의
bore, 지루하게 하다
end, 끝
embassy, 대사관
queue, 줄
restless, 불안한
defiance, 반항
statistic, 통계
setting, 설정
fitting, 적절한
rent, 집세
lower, 낮추다
advertize, 광고하다
advertizement, 광고
anyhow, 어쨌든
applaud, 박수갈채를 보내다
barque, 3본 돛대 배
brass, 놋쇠
broom, 빗자루
cigaret, 담배
commander, 지휘관
congratulate, 축하하다
co-operative, 협동적인
courtyard, 안뜰
curtain, 커튼
dictation, 받아쓰기
donkey, 당나귀
doubtful, 의심스러운
draught, 통풍
faithful, 충실한
farewell, 작별
finally, 마침내
freight, 화물
gaol, 감옥
gramme, 그램
gratitude, 감사
grocer, 식료품 잡화상
guaranty, 보증
guy, 사내
haste, 서두름
heir, 상속인
hopeless, 절망적인
horsepower, 마력
industrialise, 산업화하다
instilment, 주입
lavatory, 화장실
L, L
litre, 리터
livingroom, 거실
luggage, 짐
maid, 하녀
missile, 미사일
niece, 조카딸
notebook, 공책
paperback, 페이퍼백
pint, 파인트
postage, 우편 요금
preposition, 전치사
pronoun, 대명사
publicity, 홍보
punctual, 시간을 지키는
rag, 넝마
restraint, 자제
revenge, 복수
rifle, 소총
rouse, 깨우다
rug, 깔개
saucer, 받침 접시
scold, 꾸짖다
sincere, 진실한
skilful, 솜씨 좋은
socialism, 사회주의
socialist, 사회주의자
sore, 아픈
steamer, 증기선
stereo, 스테레오
stoop, 몸을 굽히다
tidy, 단정한
tremble, 떨다
typist, 타자수
tyre, 타이어
underline, 밑줄을 긋다
volt, 볼트
waist, 허리
weld, 용접하다
banner, 현수막
clumsy, 서투른
phantasy, 환상
gasolene, 휘발유
humorous, 유머러스한
inference, 추론
nephew, 조카
nylon, 나일론
optimum, 최적의
ounce, 온스
refusal, 거절
relay, 전달하다
sympathise, 동정하다
wit, 기지
damn, 젠장
worthless, 가치 없는
